ClientID,Location,NumAccounts,SavingsBalance,CheckingBalance,InvestmentBalance,TransactionFrequency,TransactionVolume,CreditScore,Tenure,ChurnHistory,Complaints,MarketingResponse
3005,New York,3,25177,24147,101794,18,37,789,3,No,1,No
3006,Dallas,4,25952,21467,60282,12,51,642,6,No,0,Yes
3007,Houston,1,46735,12642,150904,5,51,621,8,Yes,0,No
3008,New York,1,43942,26816,186670,8,38,669,10,Yes,2,No
3009,Houston,6,2043,12800,84291,17,56,710,3,Yes,0,Yes
3010,Houston,5,27812,15494,85708,8,42,701,3,No,1,Yes
3011,New York,5,28324,28897,106458,6,40,621,5,Yes,0,Yes
3012,Houston,4,45194,1409,38936,11,40,693,8,No,2,Yes
3013,New York,2,4968,26217,61251,10,30,733,3,No,0,No
3014,Dallas,1,10807,27381,163207,20,21,621,1,No,0,Yes
3015,Houston,3,21179,15835,196043,8,26,645,6,Yes,1,No
3016,Dallas,2,10156,1620,146452,14,37,706,10,Yes,1,Yes
3017,New York,1,26494,1673,135341,15,54,804,10,Yes,0,Yes
3018,Chicago,2,15064,29446,59747,6,38,676,5,Yes,1,No
3019,Dallas,6,39687,28247,96922,18,49,662,3,Yes,3,No
3020,Houston,3,14440,17642,121738,11,33,708,4,Yes,1,Yes
3021,New York,5,49095,19143,122637,14,50,623,6,No,1,No
3022,New York,6,19442,28744,133752,16,22,732,2,Yes,0,Yes
3023,Houston,1,19993,12559,180327,9,35,678,4,No,1,No
3024,Dallas,1,8012,24958,137219,5,36,656,9,No,0,No
3025,Houston,3,10198,5180,43000,10,37,626,1,No,1,Yes
3026,Houston,3,44413,3596,135367,16,47,716,10,Yes,2,No
3027,Houston,1,44299,16171,54433,5,35,748,2,Yes,2,Yes
3028,Houston,2,18948,25710,70304,17,36,744,6,No,1,Yes
3029,Chicago,2,17774,16675,149026,18,58,681,7,No,3,No
3030,Houston,5,6561,19376,107131,9,42,686,1,No,0,Yes
3031,New York,4,37927,3735,44275,15,30,716,3,Yes,1,Yes
3032,New York,4,25703,29702,10500,12,29,721,8,No,1,Yes
3033,Houston,4,29478,22135,187387,18,49,617,7,Yes,1,Yes
3034,Dallas,1,4010,20164,67152,12,36,721,8,Yes,3,No
3035,Chicago,6,1438,6692,17016,14,50,653,2,Yes,0,No
3036,Chicago,5,9314,15334,161832,7,42,643,5,Yes,3,Yes
3037,New York,1,19227,15708,117993,13,21,802,8,No,3,Yes
3038,Dallas,5,33218,23695,62742,9,34,799,5,No,0,No
3039,Dallas,3,19416,5993,38740,16,34,743,2,Yes,3,Yes
3040,Houston,2,45099,16774,108304,13,38,845,4,Yes,0,Yes
3041,Houston,3,41952,24162,75178,20,23,726,9,No,0,Yes
3042,Houston,3,26178,12460,131936,20,27,815,7,No,0,Yes
3043,New York,1,9815,16208,148064,7,23,827,6,Yes,2,No
3044,New York,4,31966,11341,161520,17,31,641,3,Yes,0,Yes
3045,Houston,4,8454,5731,120593,6,47,621,10,No,1,No
3046,New York,3,23277,18925,60711,17,49,649,4,Yes,1,Yes
3047,New York,5,17335,8150,149890,20,27,636,6,No,0,No
3048,Dallas,2,23783,6691,44192,5,58,836,4,Yes,2,Yes
3049,Chicago,6,18289,26784,15799,11,24,670,4,No,3,Yes
3050,Houston,3,11490,21620,88871,8,39,611,9,No,2,Yes
3051,Chicago,4,44326,29465,159339,6,22,727,7,Yes,3,Yes
3052,Chicago,4,33700,18291,101825,14,41,751,9,No,0,Yes
3053,Chicago,6,17542,8733,55474,16,40,770,8,No,2,No
3054,Dallas,1,2809,3711,60982,9,29,819,5,Yes,2,No
3055,Chicago,3,43612,29285,140352,20,45,714,5,Yes,0,Yes
3056,Houston,1,40200,2735,67501,16,39,751,3,Yes,0,Yes
3057,Houston,1,3446,2292,53779,6,36,623,3,No,3,Yes
3058,Houston,5,8327,21404,116952,18,31,804,3,No,3,Yes
3059,Chicago,3,46060,1797,183470,17,29,708,2,Yes,3,No
3060,Chicago,4,27266,27037,122981,19,45,693,4,Yes,2,Yes
3061,Dallas,5,17247,6320,183870,16,38,776,2,Yes,2,Yes
3062,Houston,1,37854,1057,133653,12,26,680,4,Yes,3,No
3063,Dallas,1,42257,23115,69800,5,21,742,8,Yes,0,No
3064,Houston,1,2238,15666,111656,10,35,637,3,Yes,2,Yes
3065,Dallas,6,22254,17636,197408,19,40,835,3,No,3,Yes
3066,Chicago,1,11845,18816,35268,12,54,645,5,No,2,No
3067,Chicago,3,29022,13365,18339,16,21,847,7,Yes,0,No
3068,Chicago,4,49448,20526,155737,17,29,601,3,Yes,3,No
3069,Houston,3,24955,6151,117623,19,47,672,3,No,0,Yes
3070,Dallas,4,19853,21015,162860,11,38,734,9,No,3,Yes
3071,Houston,3,15780,28392,110901,10,24,792,7,Yes,2,No
3072,Chicago,1,28091,11808,106944,11,20,625,8,No,0,Yes
3073,Houston,5,30905,8872,159045,5,59,625,6,Yes,3,Yes
3074,New York,1,5961,13061,167761,17,56,764,1,No,0,No
3075,Chicago,6,46334,26060,95907,19,21,789,9,Yes,2,No
3076,Houston,6,38415,10240,97143,19,45,766,8,Yes,3,No
3077,Dallas,4,15015,5808,165763,12,37,723,1,No,1,Yes
3078,Chicago,6,30710,28156,59898,10,59,763,10,No,1,Yes
3079,Houston,6,32240,27774,171974,7,46,708,6,No,0,Yes
3080,Houston,3,15701,14294,155480,20,38,668,6,Yes,3,No
3081,Chicago,3,11668,18730,127733,7,38,619,10,Yes,0,No
3082,Chicago,3,1716,7508,181094,17,28,798,7,Yes,3,No
3083,Chicago,6,34577,24687,185820,19,40,642,8,Yes,2,No
3084,Chicago,4,48061,25918,56598,12,40,807,7,No,1,Yes
3085,Dallas,6,36459,20166,136163,9,43,712,6,No,3,No
3086,Houston,1,42408,12069,10250,12,52,604,10,Yes,3,No
3087,New York,2,14173,28572,176268,5,29,732,2,Yes,2,Yes
3088,Dallas,3,1771,23328,96340,13,50,660,9,No,3,Yes
3089,Chicago,3,47679,1092,83803,6,50,756,8,Yes,1,Yes
3090,Houston,4,49831,4841,22460,10,29,828,1,No,3,No
3091,Houston,5,40985,20476,96375,18,21,773,9,No,1,Yes
3092,Chicago,1,22384,5104,194267,15,57,791,10,No,3,Yes
3093,Houston,1,11204,28435,90453,15,36,811,8,Yes,0,No
3094,Houston,5,20512,23626,136749,11,32,636,8,No,2,No
3095,Chicago,3,33700,16488,110920,14,43,804,6,Yes,3,No
3096,New York,3,29303,12443,155595,17,55,731,2,Yes,2,No
3097,New York,5,36671,16650,73960,10,38,672,2,No,1,Yes
3098,Dallas,2,49871,25900,11678,6,55,636,4,No,2,No
3099,New York,2,23355,4672,104131,10,31,629,3,Yes,3,Yes
3100,Chicago,1,11496,22167,142648,13,57,806,8,Yes,1,Yes
3101,New York,5,31968,10004,36239,9,31,648,9,Yes,1,No
3102,Dallas,1,38062,29939,42570,18,25,813,10,Yes,3,Yes
3103,Dallas,2,33390,27508,23763,11,37,781,8,Yes,0,Yes
3104,New York,5,21156,26175,114509,17,58,637,5,Yes,3,No
3105,Dallas,4,33048,23658,75138,20,36,630,8,Yes,0,No
3106,New York,2,28092,7874,175347,19,44,694,4,Yes,1,No
3107,New York,5,12391,16508,90668,10,21,680,8,Yes,0,Yes
3108,New York,4,32517,11988,191466,8,48,749,5,No,3,No
3109,New York,6,40424,23576,117957,7,40,713,4,No,2,No
3110,Chicago,3,42275,13930,196354,8,35,655,2,No,2,Yes
3111,New York,3,3011,21937,75457,6,44,827,4,Yes,1,Yes
3112,Dallas,1,15066,8079,149102,10,29,836,5,No,3,Yes
3113,New York,3,42339,12155,62840,8,47,644,4,Yes,3,Yes
3114,Chicago,1,37225,10796,145941,14,39,714,9,No,3,Yes
3115,Chicago,6,25039,20634,87588,12,43,797,8,No,1,Yes
3116,Houston,3,5754,1956,182529,10,51,648,10,No,1,No
3117,New York,1,36720,14425,34939,19,54,789,1,No,0,Yes
3118,Chicago,6,49448,13911,191104,15,50,706,9,No,2,No
3119,Houston,2,11774,13814,19173,16,49,770,6,No,2,Yes
3120,Dallas,1,25975,10952,62330,7,21,674,10,Yes,2,No
