ClientID,Location,NumAccounts,SavingsBalance,CheckingBalance,InvestmentBalance,TransactionFrequency,TransactionVolume,CreditScore,Tenure,ChurnHistory,Complaints,MarketingResponse
3005,New York,6,28114,14650,25206,7,44,670,6,No,3,No
3006,Dallas,3,1797,27426,43708,10,37,641,8,Yes,3,Yes
3007,Chicago,1,29409,7757,24794,17,20,664,10,No,0,Yes
3008,New York,5,25427,19846,111558,13,53,656,10,Yes,1,Yes
3009,Chicago,5,38329,29239,76783,13,44,636,5,Yes,2,No
3010,Chicago,5,35513,8051,97135,12,57,638,3,Yes,3,Yes
3011,New York,6,40323,6561,167039,19,60,723,5,No,1,Yes
3012,Houston,3,5795,23657,67539,13,26,759,3,Yes,0,No
3013,New York,3,3001,22415,186141,6,46,730,1,No,3,Yes
3014,New York,2,40367,11263,32572,6,33,810,3,Yes,0,No
3015,Dallas,3,26409,21877,146796,15,40,699,3,No,3,Yes
3016,New York,3,37999,5321,178022,13,22,671,8,Yes,2,No
3017,New York,5,30969,18116,22828,9,28,679,2,Yes,1,Yes
3018,New York,1,14855,10005,178484,10,47,835,2,Yes,3,No
3019,Chicago,5,28906,5027,86907,6,24,629,1,No,2,No
3020,New York,3,44029,11147,135963,12,60,813,8,Yes,2,Yes
3021,Dallas,5,31628,10907,173287,9,54,757,6,Yes,2,Yes
3022,Houston,6,9888,9948,197294,8,29,843,10,Yes,3,No
3023,Dallas,3,27533,9061,74942,19,38,675,2,No,3,Yes
3024,New York,5,14517,2528,73086,19,26,617,1,Yes,2,No
3025,Dallas,5,14135,20178,116191,5,28,694,3,No,1,Yes
3026,Chicago,2,42129,19523,131739,16,26,846,4,No,2,No
3027,Houston,3,42749,13730,18443,12,31,679,10,No,3,No
3028,Chicago,3,46184,16535,14567,6,50,662,1,No,1,No
3029,New York,6,15049,13028,175431,9,33,645,7,Yes,1,Yes
3030,Chicago,3,28283,12230,134510,17,37,616,10,Yes,0,No
3031,Dallas,4,31312,19607,128342,14,32,688,7,No,1,Yes
3032,Houston,1,17356,1096,33877,11,43,700,1,No,0,Yes
3033,Dallas,1,6503,21440,186723,8,54,662,3,No,2,Yes
3034,Houston,4,1437,3537,39435,6,50,606,1,Yes,0,No
3035,Chicago,4,38973,27467,178041,11,45,795,2,Yes,3,No
3036,Chicago,3,1280,26351,139077,5,37,684,7,Yes,3,No
3037,Chicago,5,37570,21067,103491,6,43,774,2,No,0,Yes
3038,Dallas,1,2370,29791,39191,5,30,718,10,No,2,Yes
3039,Dallas,4,25584,4334,49398,16,31,673,5,Yes,3,Yes
3040,Dallas,6,10951,18811,134680,16,51,645,10,No,0,No
3041,Chicago,3,48572,15401,184340,8,35,774,6,No,0,Yes
3042,Chicago,4,30386,17383,40101,6,53,604,7,No,2,Yes
3043,Houston,1,45607,23302,103334,20,57,751,8,Yes,3,No
